Country,Year,log_Active Armed Forces per capita,Unemployment rate,Secondary education attainment rate,log_GDP per capita,log_Defence budget per capita,Defence budget % GDP,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Education Interpolated
Latvia,2015,-5.980164440717533,9.873,88.2900009155273,9.497170229950957,4.898035932572853,1.05,4.636450280469129,-5.709571761799093,10.526315789473696,False
Latvia,2016,-5.971025587395267,9.643,88.7300033569336,9.53150582100089,5.256774052103359,1.48,3.4931862327209684,43.15218648614405,40.95238095238094,False
Latvia,2017,-5.9621634316623435,8.715,87.9997253417969,9.573792592012047,5.521476373693345,1.77,4.3193593541642095,30.30430302623033,19.594594594594604,False
Latvia,2018,-5.772050490906467,7.412,90.3000030517578,9.623778253005291,5.798186507703441,2.13,5.1256022300744775,31.878404498330724,20.338983050847446,False
Latvia,2019,-5.6109474196778475,6.312,90.9300003051758,9.637461692557247,5.710490367081107,2.11,1.377748628227371,-8.396081846596083,-0.9389671361502372,False
Latvia,2020,-5.7580859837977725,8.098,90.1376037597656,9.609165448670275,5.745184543762489,2.27,-2.7899654643777527,3.530304056818512,7.582938388625604,False
Latvia,2021,-5.344187928909558,7.513,88.1561660766602,9.68476377426933,5.810932908016197,2.1,7.852926954117856,6.795794695632429,-7.488986784140961,False
Latvia,2022,-5.592788661412707,6.815,88.7702789306641,9.705441961970637,5.834614757901096,2.12,2.0893462696431886,2.396449164166503,0.952380952380949,False
Latvia,2023,-5.59175693987959,6.465,69.2309112548828,9.72339761495259,6.045206748633306,2.4,1.8117824899080315,23.44086021505376,13.207547169811317,False
Lithuania,2015,-5.201568965499182,9.12,84.3099975585938,9.568032673897894,5.035959075778354,1.14,3.804776874229243,7.503471213148649,28.08988764044942,False
Lithuania,2016,-5.128237398352861,7.862,86.2200012207031,9.607108097005044,5.331227030298109,1.49,3.9848909328273896,34.348630368697954,30.701754385964918,False
Lithuania,2017,-5.057095762503702,7.073,87.3099975585938,9.666181725092455,5.578431266620818,1.74,6.0853346467659275,28.044059855421,16.778523489932894,False
Lithuania,2018,-4.942193342253776,6.147,88.5540771484375,9.723736060970083,5.8008355158750184,1.99,5.924282397957614,24.90762139455307,14.367816091954033,False
Lithuania,2019,-4.890756134534896,6.255,89.6794509887695,9.77209569551001,5.739554500025018,1.96,4.954804118683143,-5.944110932153313,-1.5075376884422176,False
Lithuania,2020,-4.844503786482799,8.487,89.870002746582,9.772256076474848,5.8008216240678845,2.07,0.01603938265524185,6.318287796739974,5.612244897959173,False
